100n,2,"C5 C6"
1u,1,"C2"
2u2,1,"C4"
470u,1,"C3"
C,1,"C1"
C,6,"C7 C8 C9 C10 C11 C12"
48V,1,"CON1"
USB-MINI-B,1,"CON2"
TX,1,"D1"
RX,1,"D2"
ENABLED,6,"D3 D5 D7 D9 D11 D13"
PWR,6,"D4 D6 D8 D10 D12 D14"
VDD,1,"D15"
+48V,1,"D16"
5A,1,"F1"
CONN_4,7,"P1 P2 P3 P4 P5 P6 P7"
DMP6023LE-13,1,"Q1"
120R,6,"R8 R14 R20 R26 R32 R38"
470R,9,"R4 R5 R6 R12 R18 R24 R30 R36 R50"
680R,12,"R7 R13 R19 R25 R31 R37 R9 R15 R21 R27 R33 R39"
2K2,6,"R11 R17 R23 R29 R35 R41"
4K7,1,"R2"
10K,7,"R3 R43 R44 R45 R46 R47 R48"
10k,1,"R49"
R,2,"R1 R42"
PTC,6,"R10 R16 R22 R28 R34 R40"
BOOT,1,"SW1"
4068,1,"U3"
3V3REG,1,"U1"
ISL83485IBZ,6,"U4 U6 U8 U10 U12 U14"
2CH-TVS,6,"U5 U7 U9 U11 U13 U15"
STM32F042-32,1,"U2"
